2,500,000+ views (12)
• "Bongos" - Cardi B & Megan Thee Stallion | 460K+
• "MAFIA" - Travis Scott ft. J. Cole | 460K+
• "Beautiful stranger // finally" - Halsey | 460K+
• "B.I.T.C.H." - Megan Thee Stallion | 450K+
• "Start wit Me" - Roddy Ricch ft. Gunna | 450K+
• "Wash Us in the Blood" - Kanye West ft. Travis Scott | 450K+
• "Overcompensate" - twenty one pilots | 440K+
• "Body" - Russ Millions & Tion Wayne | 440K+
• "h u n g e r . o n . h i l l s i d e" - J. Cole | 440K+
• "Memories" - Conan Gray | 440K+
• "Book Of Rhymes" - Eminem | 440K+
• "Attention" - Doja Cat | 430K+
• "Go Stupid" - Polo G, Stunna & NLE Choppa | 430K+
• "Mad Max" - Lil Durk & Future | 430K+
• "Broadway Girls" - Lil Durk | 420K+
• "Is This Love" - Eminem & 50 Cent | 400K+
• "Little Engine" - Eminem | 400K+
• "Scorpion Intro" - Drake | 400K+
400,000 - 300,000 views (61)
• "Hands On" - Kanye West | 390K+
• "Renegade" - Big Red Machine ft. Taylor Swift | 390K+
• "Wild Side" - Normani ft. Cardi B | 390K+
• "Diamonds" - Sam Smith | 390K+
• "SUN GOES DOWN" - Lil Nas X | 385K+
• "Johnny P's Caddy" - Benny The Butcher & J. Cole | 380K+
• "Epidemic" - Polo G | 380K+
• "Motley Crew" - Post Malone | 380K+
• "In The Fire" - Dave | 380K+
• "Super Gremlin" - Kodak Black | 380K+
• "Race My Mind" - Drake | 380K+
• "Shy Away" - twenty one pilots | 380K+
• "Toxic" - Kehlani | 380K+
• "Talk" - Yeat | 370K+
• "Cobra" - Megan Thee Stallion | 370K+
• "Wah Gwan Delilah" - Snowd4y ft. Drake | 370K+
• "LA Leakers Freestyle" - J. Cole | 370K+
• "Stuck On You" - Giveon | 370K+
• "Who Needs Love" - Trippie Redd | 360K+
• "No Shame" - 5 Seconds of Summer | 360K+
• "forget me too" - MGK ft. Halsey | 360K+
• "Commercial" - Lil Baby ft. Lil Uzi Vert | 360K+
• "Text Book" - Lana Del Rey | 360K+
• "We Don't Trust You" - Future & Metro Boomin | 350K+
• "Woods" - Mac Miller | 350K+
• "Cold Heart" - Elton John & Dua Lipa | 350K+
• "Sweet" - Lana Del Rey | 350K+
• "Do We Have A Problem?" - Nicki Minaj & Lil Baby | 350K+
• "Verdansk" - Dave | 340K+
• "Lie Lie Lie" - Joshua Bassett | 340K+
• "Blue Banisters" - Lana Del Rey | 330K+
• "In A Minute" - Lil Baby | 330K+
• "Obsessed With You" - Central Cee | 330K+
• "Like Me" - Pop Smoke | 330K+
• "EPMD 2" - Nas ft. Eminem & EPMD | 330K+
• "D4L" - Drake, Future & Young Thug | 330K+
• "Show of Hands" - Future & Metro Boomin ft. A$AP Rocky | 320K+
• "AMERICA HAS A PROBLEM" - Beyoncé ft. Kendrick Lamar | 320K+
• "Copy Of A Copy Of A Copy" - Louis Tomlinson | 320K+
• "School Globes" - XXXTENTACION & Lil Nas X | 320K+
• "20/20" - Lil Tjay | 320K+
• "Choker" - twenty one pilots | 320K+
• "Heatin Up" - Lil Baby & Gunna | 320K+
• "Off My Face" - Justin Bieber | 320K+
• "It's Up" - Drake ft. Young Thug & 21 Savage | 310K+
• "because i liked a boy" - Sabrina Carpenter | 310K+
• "I'M ON ONE" - Future ft. Drake | 310K+
• "Headshot" - Lil Tjay, Polo G & Fivio Foreign | 310K+
• "How I Rock (Tooka Pack)" - King Von ft. Polo G | 310K+
• "MODUS" - Joji | 310K+
• "OverHeated" - Billie Eilish | 310K+
• "Rich Nigga Shit" - 21 Savage & Metro Boomin ft. Young Thug | 310K+
• "People Watching" - Conan Gray | 310K+
• "Graduation" - benny blanco & Juice WRLD | 310K+
• "Get Back" - Pop Smoke | 310K+
• "Be Something" - Polo G ft. Lil Baby | 305K+
• "Prayer" - Kendrick Lamar | 300K+
• "vent" - Baby Keem | 300K+
• "From Florida With Love" - Drake | 300K+
• "Ramen & OJ" - Joyner Lucas & Lil Baby | 300K+
• "Your Heart" - Joyner Lucas & J. Cole | 300K+
300,000 - 200,000 views (102)
• "fue mejor (Remix)" - Kali Uchis & SZA | 295K+
• "Ashley" - Halsey | 295K+
• "I Love Me" - Demi Lovato | 295K+
• "Flex" - Polo G ft. Juice WRLD | 290K+
• "Single Soon" - Selena Gomez | 290K+
• "Sasuke" - Lil Uzi Vert | 290K+
• "TRUST" - NF | 285K+
• "What That Speed Bout" - Mike WiLL ft. YoungBoy & Nicki Minaj | 285K+
• "BODYGUARD" - Beyoncé | 280K+
• "Double Fantasy" - The Weeknd ft. Future | 280K+
• "Wasting Time" - Brent Faiyaz ft. Drake | 280K+
• "play this when i'm gone" - Machine Gun Kelly | 280K+
• "lost souls (remix)" - Baby Keem ft. Brent Faiyaz | 275K+
• "Own It" - Stormzy ft. Ed Sheeran | 275K+
• "90MH" - TREFUEGO | 275K+
• "Heart Attack" - Dave | 270K+
• "Vegas" - Doja Cat | 270K+
• "Doomsday Pt. 2" - Eminem | 270K+
• "Chemical" - Post Malone | 270K+
• "Every Hour" - Kanye West | 270K+
• "All Me" - Kehlani | 265K+
• "Betrayal" - Trippie Redd ft. Drake | 265K+
• "Met Him Last Night" - Demi Lovato ft. Ariana Grande | 260K+
• "Boyfriend" - Selena Gomez | 260K+
• "JUST LIKE YOU" - NF | 260K+
• "Forever" - Justin Bieber ft. Post Malone & Clever | 260K+
• "Let Me Love You Like A Woman" - Lana Del Ray | 260K+
• "durag activity" - Baby Keem & Travis Scott | 260K+
• "Smile" - Katy Perry | 260K+
• "iPHONE" - DaBaby & Nicki Minaj | 260K+
• "Walkthrough!" - GRIP ft. Eminem | 260K+
• "Believe" - Meek Mill ft. Justin Timberlake | 260K+
• "Cardigan" - Don Toliver | 260K+
• "M3tamorphosis" - Playboi Carti ft. Kid Cudi | 260K+
• "Stories About My Brother" - Drake | 250K+
• "Straightenin" - Migos | 250K+
• "Down Like That" - KSI ft. Rick Ross & Lil Baby | 250K+
• "Wishing For A Hero" - Polo G | 250K+
• "Feather" - Sabrina Carpenter | 250K+
• "Triumph" - XXXTENTACION | 250K+
• "Forever" - Lil Baby ft. Lil Wayne | 250K+
• "Venetia" - Lil Uzi Vert | 240K+
• "Daddy" - Blueface ft. Rich The Kid | 240K+
• "Grrrls" - Lizzo | 240K+
• "Unstable" - Justin Bieber ft. Kid LAROI | 240K+
• "D.M.B" - A$AP Rocky | 240K+
• "Wiley Flow" - Stormzy | 240K+
• "All These Niggas" - King Von ft. Lil Durk | 240K+
• "SPAGHETTII" - Beyoncé ft. Shaboozey | 230K+
• "Karma (Remix)" - Taylor Swift ft. Ice Spice | 230K+
• "TYRANT" - Beyoncé | 230K+
• "Modern Loneliness" - Lauv | 230K+
• "Writing On The Wall" - French Montana ft. Posty & Cardi B | 230K+
• "Show Out" - Kid Cudi ft. Pop Smoke & Skepta | 230K+
• "MAMMAMIA" - Måneskin | 230K+
• "Deep Reverence" - Big Sean ft. Nipsey Hussle | 230K+
• "UGLY" - XXXTENTACION | 230K+
• "Put A Little Love On Me" - Niall Horan | 230K+
• "Whole Lotta Choppas (Remix)" - Sada Baby ft. Nicki Minaj | 230K+
• "Everybody" - Mac Miller | 230K+
• "Reminds Me Of You" - Kid LAROI & Juice WRLD | 230K+
• "Pretty Please" - Dua Lipa | 230K+
• "Nail Tech" - Jack Harlow | 230K+
• "Breathe Deeper" - Tame Impala | 230K+
• "Should've Ducked" - Lil Durk ft. Pooh Shiesty | 230K+
• "Let Me Calm Down" - Nicki Minaj ft. J. Cole | 230K+
• "Trap" - SAINt JHN ft. Lil Baby | 225K+
• "Doomsday" - Juice WRLD & Cordae | 220K+
• "LOST" - Linkin Park | 220K+
• "Life Support" - NBA YoungBoy | 220K+
• "BUSY / SIRENS" - Saba | 220K+
• "The Invitation" - Nick Cannon | 220K+
• "What's The Move?" - Young Thug ft. Lil Uzi Vert | 220K+
• "Poppin" - KSI ft. Lil Pump & Smokepurpp | 220K+
• "A-O-K" - Tai Verdes | 220K+
• "The Joker And The Queen" - Ed Sheeran | 220K+
• "B.B. King Freestyle" - Lil Wayne ft. Drake | 220K+
• "Plan B" - Megan Thee Stallion | 220K+
• "Javari" - J. Cole | 220K+
• "DO IT" - Kanye West & Ty Dolla $ign ft. YG | 220K+
• "Eleven" - Khalid | 215K+
• "Blick Blick" - Coi Leray & Nicki Minaj | 215K+
• "What A Man Gotta Do" - Jonas Brothers | 215K+
• "Move On" - Lil Tjay | 210K+
• "Clueless" - Polo G ft. Fivio & Pop Smoke | 210K+
• "As I Am" - Justin Bieber ft. Khalid | 210K+
• "Nice To Meet Ya" - Meghan Trainor ft. Nicki Minaj | 210K+
• "Tommy Lee" - Tyla Yaweh ft. Post Malone | 210K+
• "BIG PURR (Prrdd)" - Coi Leray ft. Pooh Shiesty | 210K+
• "Grippy" Cash Cobain ft. J. Cole | 210K+
• "Bring The Hook" - NBA YoungBoy | 210K+
• "Wolves" - Big Sean ft. Post Malone | 210K+
• "Better Days" - Neiked, Mae Muller & Polo G | 210K+
• "Reputation" - Post Malone | 210K+
• "Hold On" - Lil Tjay | 210K+
• "My Dawg" - 21 Savage & Metro Boomin | 200K+
• "Lilith" - Halsey | 200K+
• "Happiness" - The 1975 | 200K+
• "drive ME crazy!" - Lil Yachty | 200K+
• "Rondo" - 6IX9INE ft. Young Thug & Tory Lanez | 200K+
• "Over Now" - Calvin Harris & The Weeknd | 200K+
• "Holiday" - KSI | 200K+
200,000 - 150,000 views (87)
• "The Void" - Kid Cudi | 195K+
• "Houdini" - KSI | 195K+
• "Late at Night" - Roddy Ricch | 195K+
• "COUNT ON ME" - BROCKHAMPTON | 195K+
• "Wandered To LA" - Juice WRLD & Justin Bieber | 195K+
• "Calamity" - ZAYN | 195K+
• "Don't Go Yet" - Camila Cabello | 190K+
• "Hot Shit" - Cardi B ft. Kanye West & Lil Durk | 190K+
• "numb the pain" - XXXTENTACION | 190K+
• "Another Day" - Kid Cudi | 190K+
• "Yosemite" - Lana Del Rey | 190K+
• "XS" - Rina Sawayama | 190K+
• "Sandman" - A$AP Rocky | 190K+
• "Eurovision" - Central Cee | 190K+
• "DRIFTING" - NF | 190K+
• "Go Hard" - Lil Baby | 190K+
